Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A758217,2017-09-19,Adoption or RTO,0.0
A814026,2020-02-27,Transfer,2.0
A791254,2019-03-28,Adoption or RTO,0.0
A730605,2016-07-11,Adoption or RTO,0.0
A802474,2019-08-18,Transfer,0.0
A783602,2018-11-03,Transfer,0.0
A691208,2014-11-11,Adoption or RTO,0.0
A718620,2016-03-01,Adoption or RTO,0.0
A741753,2017-01-08,Transfer,1.0
A824845,2020-10-27,Adoption or RTO,1.0
A668687,2013-12-09,Transfer,2.0
A805280,2019-12-14,Adoption or RTO,0.0
A783389,2018-11-03,Adoption or RTO,2.0
A822828,2020-09-11,Transfer,2.0
A760987,2017-11-01,Transfer,2.0
A741111,2017-02-18,Adoption or RTO,0.0
A708758,2015-08-05,Transfer,0.0
A785700,2018-12-08,Adoption or RTO,1.0
A665078,2013-10-14,Euthanasia,4.0
A716190,2016-01-09,Adoption or RTO,2.0
A689578,2014-10-06,Transfer,0.0
A770926,2018-09-19,Adoption or RTO,0.0
A725779,2016-05-26,Euthanasia,1.0
A807513,2019-11-12,Transfer,0.0
A794959,2019-05-22,Transfer,0.0
A760748,2017-10-28,Adoption or RTO,0.0
A777448,2018-08-01,Transfer,0.0
A708904,2015-12-07,Adoption or RTO,0.0
A710953,2015-08-30,Transfer,0.0
A772860,2018-08-12,Adoption or RTO,0.0
A690462,2014-10-21,Euthanasia,0.0
A749567,2017-05-18,Transfer,0.0
A276644,2017-01-02,Transfer,14.0
A739885,2016-12-09,Transfer,0.0
A726724,2016-06-26,Adoption or RTO,0.0
A710401,2015-10-31,Adoption or RTO,0.0
A710324,2015-10-20,Adoption or RTO,0.0
A799847,2019-07-26,Adoption or RTO,0.0
A757122,2018-07-31,Transfer,11.0
A705583,2015-06-20,Transfer,0.0
A737808,2016-11-11,Euthanasia,3.0
A802952,2019-12-04,Adoption or RTO,0.0
A795659,2019-09-06,Adoption or RTO,0.0
A688103,2014-09-14,Transfer,0.0
A817192,2020-05-10,Transfer,0.0
A812982,2020-02-06,Adoption or RTO,0.0
A761380,2017-12-02,Adoption or RTO,0.0
A667635,2013-11-20,Euthanasia,0.0
A797668,2019-07-19,Transfer,0.0
A775669,2018-07-14,Transfer,0.0
A672161,2014-03-29,Adoption or RTO,0.0
A704553,2015-07-18,Adoption or RTO,0.0
A698940,2015-03-21,Transfer,2.0
A702645,2015-07-20,Adoption or RTO,1.0
A814935,2020-05-12,Adoption or RTO,2.0
A787074,2019-02-02,Adoption or RTO,2.0
A716338,2015-11-22,Transfer,2.0
A684868,2014-07-29,Transfer,0.0
A751297,2017-07-01,Adoption or RTO,0.0
A751255,2017-07-31,Adoption or RTO,0.0
A669846,2013-12-29,Adoption or RTO,0.0
A706928,2015-07-06,Transfer,4.0
A694681,2015-01-25,Adoption or RTO,0.0
A776580,2018-08-04,Adoption or RTO,0.0
A792290,2019-04-08,Transfer,0.0
A780197,2018-09-14,Died or Missing,0.0
A815411,2020-03-27,Transfer,2.0
A725244,2016-04-27,Transfer,0.0
A750028,2017-06-01,Transfer,0.0
A699928,2015-05-26,Adoption or RTO,10.0
A738994,2016-11-25,Euthanasia,10.0
A676558,2014-04-11,Transfer,0.0
A701642,2015-06-16,Adoption or RTO,0.0
A811708,2020-01-12,Transfer,1.0
A683154,2014-07-18,Transfer,0.0
A822797,2020-10-22,Adoption or RTO,0.0
A702513,2015-05-14,Transfer,0.0
A706526,2015-06-30,Transfer,0.0
A728497,2016-06-08,Transfer,10.0
A827680,2020-12-30,Transfer,0.0
A792310,2019-04-23,Died or Missing,0.0
A680803,2014-06-08,Adoption or RTO,2.0
A804352,2019-10-16,Adoption or RTO,0.0
A661648,2014-03-25,Adoption or RTO,10.0
A678229,2014-05-06,Transfer,0.0
A690271,2014-10-20,Transfer,2.0
A730764,2016-08-16,Adoption or RTO,0.0
A714860,2015-11-03,Died or Missing,0.0
A701396,2015-06-19,Adoption or RTO,0.0
A791026,2019-03-24,Transfer,1.0
A671517,2014-02-04,Transfer,0.0
A780774,2018-09-20,Transfer,0.0
A806767,2019-11-16,Adoption or RTO,1.0
A803516,2019-09-12,Transfer,0.0
A660347,2014-01-01,Adoption or RTO,0.0
A757955,2017-10-31,Adoption or RTO,0.0
A736727,2016-10-17,Transfer,1.0
A787702,2019-01-18,Transfer,0.0
A762324,2017-12-21,Adoption or RTO,0.0
A822201,2020-10-03,Adoption or RTO,0.0
A716028,2015-11-13,Adoption or RTO,5.0
A729677,2016-06-22,Euthanasia,0.0
A822549,2020-09-22,Adoption or RTO,0.0
A734763,2016-11-03,Adoption or RTO,0.0
A685148,2014-08-25,Transfer,0.0
A763406,2017-12-20,Died or Missing,0.0
A675869,2014-04-01,Transfer,0.0
A748689,2017-09-02,Adoption or RTO,0.0
A792122,2019-04-10,Adoption or RTO,9.0
A799594,2019-09-26,Adoption or RTO,1.0
A754992,2017-08-06,Adoption or RTO,2.0
A755557,2017-08-07,Transfer,0.0
A823365,2020-09-22,Transfer,0.0
A687332,2014-09-08,Adoption or RTO,0.0
A719403,2016-02-12,Adoption or RTO,1.0
A798842,2019-07-05,Transfer,0.0
A683741,2014-07-14,Transfer,0.0
A671238,2014-01-23,Adoption or RTO,0.0
